"ple0044_h","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","2013","35-65","kein Migrationshintergrund","4366","0.338448401305349","0.330259726229238","0.34663707638146"
"keinen Tag","2013","35-65","direkter Migrationshintergrund","1394","","",""
"keinen Tag","2013","35-65","indirekter Migrationshintergrund","247","","",""
"keinen Tag","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2013","66 +","kein Migrationshintergrund","201","","",""
"keinen Tag","2013","66 +","direkter Migrationshintergrund","19","","",""
"keinen Tag","2013","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2013","17-34","kein Migrationshintergrund","3306","0.734916554640056","0.72197888448734","0.747854224792772"
"Ja","2013","17-34","direkter Migrationshintergrund","1349","","",""
"Ja","2013","17-34","indirekter Migrationshintergrund","1060","","",""
"Ja","2013","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2013","35-65","kein Migrationshintergrund","8461","0.661551598694651","0.65336292361854","0.669740273770762"
"Ja","2013","35-65","direkter Migrationshintergrund","2559","","",""
"Ja","2013","35-65","indirekter Migrationshintergrund","477","0.669522072263388","0.635258512070919","0.703785632455857"
"Ja","2013","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2013","66 +","kein Migrationshintergrund","4377","0.961130859803365","0.955531944153823","0.966729775452906"
"Ja","2013","66 +","direkter Migrationshintergrund","428","0.973522315319549","0.95863873937262","0.988405891266478"
"Ja","2013","66 +","indirekter Migrationshintergrund","4","1","1","1"
"Ja","2013","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2014","17-34","kein Migrationshintergrund","1041","","",""
"keinen Tag","2014","17-34","direkter Migrationshintergrund","611","0.41350468201286","0.38758782391261","0.439421540113109"
"keinen Tag","2014","17-34","indirekter Migrationshintergrund","411","0.384558345199428","0.355517231018858","0.413599459379998"
"keinen Tag","2014","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2014","35-65","kein Migrationshintergrund","3988","0.350270922647893","0.341534036921272","0.359007808374514"
"keinen Tag","2014","35-65","direkter Migrationshintergrund","1509","","",""
"keinen Tag","2014","35-65","indirekter Migrationshintergrund","259","","",""
"keinen Tag","2014","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2014","66 +","kein Migrationshintergrund","237","","",""
"keinen Tag","2014","66 +","direkter Migrationshintergrund","79","0.0934818421460653","0.0660941705868842","0.120869513705246"
"keinen Tag","2014","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2014","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2014","17-34","kein Migrationshintergrund","2932","","",""
"Ja","2014","17-34","direkter Migrationshintergrund","776","0.58649531798714","0.560578459886891","0.61241217608739"
"Ja","2014","17-34","indirekter Migrationshintergrund","667","0.615441654800572","0.586400540620002","0.644482768981142"
"Ja","2014","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2014","35-65","kein Migrationshintergrund","7465","0.649729077352107","0.640992191625486","0.658465963078728"
"Ja","2014","35-65","direkter Migrationshintergrund","1697","","",""
"Ja","2014","35-65","indirekter Migrationshintergrund","414","0.628266897392582","0.591755515875668","0.664778278909496"
"Ja","2014","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2014","66 +","kein Migrationshintergrund","4254","0.952872774840009","0.946675083301027","0.959070466378992"
"Ja","2014","66 +","direkter Migrationshintergrund","355","0.906518157853935","0.879130486294754","0.933905829413116"
"Ja","2014","66 +","indirekter Migrationshintergrund","4","1","1","1"
"Ja","2014","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2015","17-34","kein Migrationshintergrund","932","0.271358368681894","0.257001558929283","0.285715178434506"
"keinen Tag","2015","17-34","direkter Migrationshintergrund","631","0.306149071575901","0.285408821632791","0.32688932151901"
"keinen Tag","2015","17-34","indirekter Migrationshintergrund","237","","",""
"keinen Tag","2015","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2015","35-65","kein Migrationshintergrund","3668","0.343700394389818","0.334757156929356","0.352643631850279"
"keinen Tag","2015","35-65","direkter Migrationshintergrund","1206","","",""
"keinen Tag","2015","35-65","indirekter Migrationshintergrund","208","","",""
"keinen Tag","2015","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2015","66 +","kein Migrationshintergrund","241","","",""
"keinen Tag","2015","66 +","direkter Migrationshintergrund","28","","",""
"keinen Tag","2015","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","2015","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2015","17-34","kein Migrationshintergrund","2753","","",""
"Ja","2015","17-34","direkter Migrationshintergrund","1266","","",""
"Ja","2015","17-34","indirekter Migrationshintergrund","743","0.74731367392479","0.720106878684995","0.774520469164586"
"Ja","2015","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2015","35-65","kein Migrationshintergrund","7166","0.656299605610182","0.647356368149721","0.665242843070644"
"Ja","2015","35-65","direkter Migrationshintergrund","2288","","",""
"Ja","2015","35-65","indirekter Migrationshintergrund","463","0.712422777032995","0.678174953923919","0.74667060014207"
"Ja","2015","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2015","66 +","kein Migrationshintergrund","4211","0.947725832501721","0.941187674147339","0.954263990856103"
"Ja","2015","66 +","direkter Migrationshintergrund","401","0.948912301050317","0.928077437805009","0.969747164295625"
"Ja","2015","66 +","indirekter Migrationshintergrund","4","1","1","1"
"Ja","2015","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2016","17-34","kein Migrationshintergrund","812","0.271024700952527","0.255875426385065","0.286173975519989"
"keinen Tag","2016","17-34","direkter Migrationshintergrund","423","0.310868578720963","0.286233288315976","0.335503869125951"
"keinen Tag","2016","17-34","indirekter Migrationshintergrund","226","","",""
"keinen Tag","2016","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2016","35-65","kein Migrationshintergrund","3394","0.338918020493304","0.329650877125904","0.348185163860704"
"keinen Tag","2016","35-65","direkter Migrationshintergrund","1024","","",""
"keinen Tag","2016","35-65","indirekter Migrationshintergrund","215","","",""
"keinen Tag","2016","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2016","66 +","kein Migrationshintergrund","248","","",""
"keinen Tag","2016","66 +","direkter Migrationshintergrund","24","","",""
"keinen Tag","2016","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","2016","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2016","17-34","kein Migrationshintergrund","2495","","",""
"Ja","2016","17-34","direkter Migrationshintergrund","933","0.689131421279037","0.66449613087405","0.713766711684025"
"Ja","2016","17-34","indirekter Migrationshintergrund","661","0.739864705633488","0.71099368904662","0.768735722220355"
"Ja","2016","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2016","35-65","kein Migrationshintergrund","6628","0.661081979506696","0.651814836139296","0.670349122874096"
"Ja","2016","35-65","direkter Migrationshintergrund","2026","","",""
"Ja","2016","35-65","indirekter Migrationshintergrund","436","0.673649571817594","0.637631811045211","0.709667332589977"
"Ja","2016","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2016","66 +","kein Migrationshintergrund","4041","0.943728183516691","0.93683152063299","0.950624846400391"
"Ja","2016","66 +","direkter Migrationshintergrund","375","0.936826404209214","0.912956042322443","0.960696766095986"
"Ja","2016","66 +","indirekter Migrationshintergrund","3","","",""
"Ja","2016","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2017","17-34","kein Migrationshintergrund","930","0.250176923652208","0.236778230791412","0.263575616513004"
"keinen Tag","2017","17-34","direkter Migrationshintergrund","343","0.31328767862161","0.286456717852617","0.340118639390604"
"keinen Tag","2017","17-34","indirekter Migrationshintergrund","223","","",""
"keinen Tag","2017","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2017","35-65","kein Migrationshintergrund","3590","0.321307176459997","0.312761914846135","0.329852438073859"
"keinen Tag","2017","35-65","direkter Migrationshintergrund","995","0.326075606214709","0.309306593633233","0.342844618796186"
"keinen Tag","2017","35-65","indirekter Migrationshintergrund","214","","",""
"keinen Tag","2017","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2017","66 +","kein Migrationshintergrund","286","","",""
"keinen Tag","2017","66 +","direkter Migrationshintergrund","28","","",""
"keinen Tag","2017","66 +","indirekter Migrationshintergrund","4","0.145756038451013","-0.0271429038262369","0.318654980728263"
"keinen Tag","2017","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2017","17-34","kein Migrationshintergrund","3084","0.749823076347792","0.736424383486996","0.763221769208588"
"Ja","2017","17-34","direkter Migrationshintergrund","805","0.68671232137839","0.659881360609396","0.713543282147383"
"Ja","2017","17-34","indirekter Migrationshintergrund","725","0.764425059352906","0.737411866111884","0.791438252593929"
"Ja","2017","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2017","35-65","kein Migrationshintergrund","7882","0.678692823540003","0.670147561926141","0.687238085153865"
"Ja","2017","35-65","direkter Migrationshintergrund","2007","","",""
"Ja","2017","35-65","indirekter Migrationshintergrund","504","0.68725986696396","0.653349056534623","0.721170677393297"
"Ja","2017","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2017","66 +","kein Migrationshintergrund","4206","0.942906981967243","0.936121914919163","0.949692049015323"
"Ja","2017","66 +","direkter Migrationshintergrund","400","0.925249876956708","0.900334831695513","0.950164922217902"
"Ja","2017","66 +","indirekter Migrationshintergrund","12","","",""
"Ja","2017","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2018","17-34","kein Migrationshintergrund","877","0.241507610583325","0.22808715034362","0.25492807082303"
"keinen Tag","2018","17-34","direkter Migrationshintergrund","330","0.320237734608722","0.29200355808499","0.348471911132454"
"keinen Tag","2018","17-34","indirekter Migrationshintergrund","234","","",""
"keinen Tag","2018","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2018","35-65","kein Migrationshintergrund","3384","0.304981580901889","0.296333713982845","0.313629447820934"
"keinen Tag","2018","35-65","direkter Migrationshintergrund","921","0.304876750415687","0.288043292458107","0.321710208373267"
"keinen Tag","2018","35-65","indirekter Migrationshintergrund","203","","",""
"keinen Tag","2018","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2018","66 +","kein Migrationshintergrund","274","","",""
"keinen Tag","2018","66 +","direkter Migrationshintergrund","33","0.096539675020969","0.068976054937271","0.124103295104667"
"keinen Tag","2018","66 +","indirekter Migrationshintergrund","2","","",""
"keinen Tag","2018","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2018","17-34","kein Migrationshintergrund","3030","0.758492389416675","0.74507192917697","0.77191284965638"
"Ja","2018","17-34","direkter Migrationshintergrund","719","0.679762265391278","0.651528088867546","0.70799644191501"
"Ja","2018","17-34","indirekter Migrationshintergrund","730","0.74444773368427","0.716913908638047","0.771981558730492"
"Ja","2018","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2018","35-65","kein Migrationshintergrund","7504","0.69501841909811","0.686370552179066","0.703666286017155"
"Ja","2018","35-65","direkter Migrationshintergrund","1952","","",""
"Ja","2018","35-65","indirekter Migrationshintergrund","499","0.681397547820783","0.646930477107582","0.715864618533984"
"Ja","2018","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2018","66 +","kein Migrationshintergrund","4236","0.941737723345203","0.934901464011766","0.948573982678641"
"Ja","2018","66 +","direkter Migrationshintergrund","408","0.903460324979031","0.875896704895333","0.931023945062729"
"Ja","2018","66 +","indirekter Migrationshintergrund","18","","",""
"Ja","2018","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2019","17-34","kein Migrationshintergrund","839","0.246431003647427","0.232487130629161","0.260374876665693"
"keinen Tag","2019","17-34","direkter Migrationshintergrund","229","","",""
"keinen Tag","2019","17-34","indirekter Migrationshintergrund","192","","",""
"keinen Tag","2019","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2019","35-65","kein Migrationshintergrund","3748","0.295122037791951","0.286777703643929","0.303466371939973"
"keinen Tag","2019","35-65","direkter Migrationshintergrund","837","0.30483406219241","0.287057361899059","0.322610762485761"
"keinen Tag","2019","35-65","indirekter Migrationshintergrund","323","0.364195184770463","0.332455928546741","0.395934440994185"
"keinen Tag","2019","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2019","66 +","kein Migrationshintergrund","459","0.0658253212410371","0.0587606756758988","0.0728899668061753"
"keinen Tag","2019","66 +","direkter Migrationshintergrund","35","0.0732997188871747","0.0485793495305794","0.0980200882437699"
"keinen Tag","2019","66 +","indirekter Migrationshintergrund","16","","",""
"keinen Tag","2019","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2019","17-34","kein Migrationshintergrund","2830","","",""
"Ja","2019","17-34","direkter Migrationshintergrund","577","0.715279771467194","0.684124775206349","0.74643476772804"
"Ja","2019","17-34","indirekter Migrationshintergrund","672","0.771868645862002","0.743888149858882","0.799849141865123"
"Ja","2019","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2019","35-65","kein Migrationshintergrund","7729","0.704877962208049","0.696533628060027","0.713222296356071"
"Ja","2019","35-65","direkter Migrationshintergrund","1739","","",""
"Ja","2019","35-65","indirekter Migrationshintergrund","560","0.635804815229537","0.604065559005815","0.667544071453259"
"Ja","2019","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2019","66 +","kein Migrationshintergrund","4274","0.934174678758963","0.927110033193825","0.941239324324101"
"Ja","2019","66 +","direkter Migrationshintergrund","392","0.926700281112825","0.90197991175623","0.951420650469421"
"Ja","2019","66 +","indirekter Migrationshintergrund","34","0.821943972327752","0.715905726059792","0.927982218595712"
"Ja","2019","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2020","17-34","kein Migrationshintergrund","773","0.237765271633629","0.22355563282048","0.251974910446779"
"keinen Tag","2020","17-34","direkter Migrationshintergrund","1282","","",""
"keinen Tag","2020","17-34","indirekter Migrationshintergrund","223","","",""
"keinen Tag","2020","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2020","35-65","kein Migrationshintergrund","3463","0.308428855411118","0.299562023209248","0.317295687612989"
"keinen Tag","2020","35-65","direkter Migrationshintergrund","1845","","",""
"keinen Tag","2020","35-65","indirekter Migrationshintergrund","258","","",""
"keinen Tag","2020","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2020","66 +","kein Migrationshintergrund","377","0.0617410584322008","0.054652733101579","0.0688293837628226"
"keinen Tag","2020","66 +","direkter Migrationshintergrund","51","0.0793510697766881","0.0542947231193983","0.104407416433978"
"keinen Tag","2020","66 +","indirekter Migrationshintergrund","10","","",""
"keinen Tag","2020","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2020","17-34","kein Migrationshintergrund","2675","","",""
"Ja","2020","17-34","direkter Migrationshintergrund","1683","","",""
"Ja","2020","17-34","indirekter Migrationshintergrund","624","0.747350079440614","0.718086461954218","0.776613696927011"
"Ja","2020","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2020","35-65","kein Migrationshintergrund","6959","0.691571144588882","0.682704312387011","0.700437976790753"
"Ja","2020","35-65","direkter Migrationshintergrund","2640","","",""
"Ja","2020","35-65","indirekter Migrationshintergrund","479","0.659926805878373","0.625725047691423","0.694128564065324"
"Ja","2020","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2020","66 +","kein Migrationshintergrund","4052","0.938258941567799","0.931170616237177","0.945347266898421"
"Ja","2020","66 +","direkter Migrationshintergrund","396","0.920648930223312","0.895592583566022","0.945705276880602"
"Ja","2020","66 +","indirekter Migrationshintergrund","34","0.920163842448599","0.840078295133505","1.00024938976369"
"Ja","2020","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
